smyth-id,citation,author,work,loc
s44a.D,Hom. Il. 21.567,H.,Il.,21.567
s180,Hom. Il. 14.472,H.,Il.,14.472
s185,Thuc. 4.47,T.,, 4.47
s188,Xen. Anab. 1.2.2,X.,A., 1.2.2
s325D,Hom. Od. 4.62,H.,Od.,4.62
s349,Dem. 39.32,D.,, 39.32
s351,Thuc. 1.62,T.,, 1.62
s351,Xen. Anab. 1.7.10,X.,A., 1.7.10
s354,Xen. Anab. 1.4.13,X.,A., 1.4.13
s599,Xen. Cyrop. 1.4.11,X.,C., 1.4.11
s599,Plat. Laws 951c,P.,L., 951c
s599,Plat. Laws 779d,P.,L., 779d
s600,Andoc. 1.72,And.,, 1.72
s620,Hom. Od. 13.518,H.,Od.,13.518
s624,Hom. Od. 9.222,H.,Od.,9.222
s708D,Hom. Od. 14.168,H.,Od.,14.168
s749,Plat. Phaedo 77b,P.,Ph., 77b
s773D,Hom. Il. 24.462,H.,Il.,24.462
s773D,Hom. Od. 15.213,H.,Od.,15.213
s902,Thuc. 3.102,T.,, 3.102
s903,Xen. Anab. 3.4.18,X.,A., 3.4.18
s904,,,C.I.A., /lref>
s908,Xen. Anab. 1.7.13,X.,A., 1.7.13
s908,Xen. Hell. 6.5.10,X.,H., 6.5.10
s908,Dem. 18.88,D.,, 18.88
s910,Lys. 13.10,L.,, 13.10
s915,Xen. Anab. 1.5.8,X.,A., 1.5.8
s916,Plat. Theaet. 172d,P.,Th., 172d
s919,Xen. Anab. 1.6.10,X.,A., 1.6.10
s928,Xen. Hell. 4.2.20,X.,H., 4.2.20
s928,Thuc. 7.64,T.,, 7.64
s929,Dem. 21.8,D.,, 21.8
s930,Soph. Phil. 123,S.,Ph., 123
s930,Xen. Anab. 3.4.41,X.,A., 3.4.41
s931,Xen. Cyrop. 3.1.22,X.,C., 3.1.22
s931,Plat. Apol. 29b,P.,A., 29b
s931,Isaeus 2.13,Is.,, 2.13
s931,Aeschin. 3.15,Aes.,, 3.15
s931,Dem. 5.18,D.,, 5.18
s931,Thuc. 7.84,T.,, 7.84
s932,Thuc. 1.109,T.,, 1.109
s932,Xen. Anab. 1.8.1,X.,A., 1.8.1
s933,Xen. Anab. 3.2.15,X.,A., 3.2.15
s933,Dem. 1.17,D.,, 1.17
s935,Plat. Phaedrus 261b,P.,Phae., 261b
s935,Plat. Phaedrus 232a,P.,Phae., 232a
s935,Xen. Hell. 1.3.20,X.,H., 1.3.20
s936,Xen. Anab. 4.2.1,X.,A., 4.2.1
s937,Xen. Anab. 4.1.27,X.,A., 4.1.27
s937,Xen. Sym. 4,X.,S., 4
s937,Xen. Cyrop. 1.3.11,X.,C., 1.3.11
s939,Xen. Anab. 1.2.3,X.,A., 1.2.3
s940,Aeschin. 2.99,Aes.,, 2.99
s940,Dem. 18.88,D.,, 18.88
s940,Plat. Soph. 266d,P.,Soph., 266d
s941,Xen. Ec. 1.14,X.,O., 1.14
s942,Thuc. 1.137,T.,, 1.137
s942,Xen. Hell. 5.1.31,X.,H., 5.1.31
s942,Dem. 18.79,D.,, 18.79
s943,Thuc. 7.25,T.,, 7.25
s943,Dem. 59.115,D.,, 59.115
s944,Xen. Mem. 1.1.9,X.,M., 1.1.9
s944,Plat. Phaedrus 252a,P.,Phae., 252a
s944,Dem. 9.6,D.,, 9.6
s944,Isoc. 1.29,I.,, 1.29
s944,Xen. Mem. 2.1.28,X.,M., 2.1.28
s945,Plat. Lach. 180a,P.,Lach., 180a
s945,Dem. 19.250,D.,, 19.250
s945,Aeschin. 3.71,Aes.,, 3.71
s945,Xen. Mem. 2.3.15,X.,M., 2.3.15
s945,Xen. Cyrop. 7.5.72,X.,C., 7.5.72
s946,Eur. Med. 324,E.,Med., 324
s946,Aristoph. Cl. 871,Ar.,Nub., 871
s946,Plat. Phaedrus 227a,P.,Phae., 227a
s946,Dem. 19.257,D.,, 19.257
s946,Aristoph. Wasps 1179,Ar.,Vesp., 1179
s946,Thuc. 3.39,T.,, 3.39
s946,Lys. 13.79,L.,, 13.79
s947,Xen. Anab. 2.4.15,X.,A., 2.4.15
s947,Plat. Gorg. 516c,P.,G., 516c
s948,Plat. Apol. 26a,P.,A., 26a
s949,Xen. Anab. 1.4.4,X.,A., 1.4.4
s949,Plat. Prot. 354c,P.,Pr., 354c
s949,Thuc. 4.102,T.,, 4.102
s949,Dem. 9.65,D.,, 9.65
s949,Xen. Anab. 1.4.15,X.,A., 1.4.15
s949,Plat. Gorg. 487a,P.,G., 487a
s949,Lys. 13.56,L.,, 13.56
s950,Thuc. 5.60,T.,, 5.60
s950,Xen. Hell. 3.3.4,X.,H., 3.3.4
s951,Lys. 6.1,L.,, 6.1
s952,Plat. Prot. 361a,P.,Pr., 361a
s952,Xen. Anab. 2.1.15,X.,A., 2.1.15
s953,Xen. Hell. 1.1.10,X.,H., 1.1.10
s955,Xen. Anab. 4.3.10,X.,A., 4.3.10
s956,Plat. Phaedrus 256c,P.,Phae., 256c
s958,Xen. Anab. 4.3.19,X.,A., 4.3.19
s959,Thuc. 4.88,T.,, 4.88
s959,Xen. Anab. 1.7.17,X.,A., 1.7.17
s960,Xen. Anab. 4.1.13,X.,A., 4.1.13
s960,Xen. Hell. 3.2.19,X.,H., 3.2.19
s961,Plat. Rep. 462e,P.,R., 462e
s962,Thuc. 5.59,T.,, 5.59
s962,Plat. Tim. 56e,P.,Tim., 56e
s964,Thuc. 4.46,T.,, 4.46
s964,Xen. Mem. 1.2.24,X.,M., 1.2.24
s965,Hom. Od. 10.513,H.,Od.,10.513
s966,Dem. 23.143,D.,, 23.143
s966,Plat. Rep. 327b,P.,R., 327b
s966,Xen. Anab. 2.2.1,X.,A., 2.2.1
s966,Aeschin. 3.250,Aes.,, 3.250
s967,Plat. Laws 661b,P.,L., 661b
s968,Xen. Anab. 7.2.29,X.,A., 7.2.29
s969,Xen. Anab. 2.1.16,X.,A., 2.1.16
s970,Xen. Mem. 4.4.7,X.,M., 4.4.7
s971,Dem. 27.12,D.,, 27.12
s972,Dem. 4.12,D.,, 4.12
s974,Dem. 23.120,D.,, 23.120
s975,Plat. Sym. 174d,P.,S., 174d
s975,Xen. Cyrop. 8.1.4,X.,C., 8.1.4
s976,Plat. Phaedrus 240b,P.,Phae., 240b
s976,Eur. Hec. 503,E.,Hec., 503
s977,Aristoph. Pl. 33,Ar.,Plut., 33
s977,Dem. 4.7,D.,, 4.7
s978,Plat. Apol. 29d,P.,A., 29d
s979,Aeschin. 3.133,Aes.,, 3.133
s980,Plat. Tim. 69d,P.,Tim., 69d
s980,Aesch. Eum. 127,A.,Eum., 127
s981,Plat. Gorg. 524a,P.,G., 524a
s981,Plat. Phaedo 93b,P.,Ph., 93b
s982,Xen. Anab. 2.1.15,X.,A., 2.1.15
s982,Plat. Charm. 153c,P.,Charm., 153c
s982,Xen. Hell. 1.7.5,X.,H., 1.7.5
s983,Thuc. 2.54,T.,, 2.54
s983,Thuc. 2.47,T.,, 2.47
s984,Plat. Rep. 338d,P.,R., 338d
s985,Hom. Il. 11.240,H.,Il.,11.240
s985,Hom. Od. 19.356,H.,Od.,19.356
s985,Hom. Il. 11.11,H.,Il.,11.11
s985,Plat. Lach. 190b,P.,Lach., 190b
s986,Plat. Lysis 223b,P.,Lys., 223b
s986,Aeschin. 2.153,Aes.,, 2.153
s986,Xen. Anab. 1.3.3,X.,A., 1.3.3
s986,Dem. 27.1,D.,, 27.1
s986,Dem. 9.31,D.,, 9.31
s986,Xen. Anab. 1.2.9,X.,A., 1.2.9
s986,Xen. Anab. 6.5.26,X.,A., 6.5.26
s987,Aeschin. 3.134,Aes.,, 3.134
s988,Plat. Apol. 37a,P.,A., 37a
s988,Plat. Gorg. 478d,P.,G., 478d
s988,Hom. Il. 8.362,H.,Il.,8.362
s988,Thuc. 1.107,T.,, 1.107
s990,Plat. Rep. 606b,P.,R., 606b
s991,Eur. Orest. 1105,E.,Or., 1105
s991,Eur. El. 231,E.,El., 231
s991,Hom. Il. 24.735,H.,Il.,24.735
s992,Plat. Laws 903b,P.,L., 903b
s994,Dem. 18.171,D.,, 18.171
s994,Thuc. 2.65,T.,, 2.65
s994,Plat. Gorg. 447a,P.,G., 447a
s994,Plat. Apol. 34d,P.,A., 34d
s995,Lys. 30.29,L.,, 30.29
s995,Plat. Phaedo 66d,P.,Ph., 66d
s996,Dem. 7.6,D.,, 7.6
s996,Thuc. 4.96,T.,, 4.96
s996,Thuc. 1.69,T.,, 1.69
s996,Xen. Cyrop. 4.6.2,X.,C., 4.6.2
s996,Xen. Anab. 1.7.10,X.,A., 1.7.10
s997,Thuc. 3.2,T.,, 3.2
s998,Plat. Apol. 41a,P.,A., 41a
s998,Thuc. 8.96,T.,, 8.96
s998,Lys. 10.29,L.,, 10.29
s998,Plat. Rep. 452b,P.,R., 452b
s1000,Dem. 8.53,D.,, 8.53
s1000,Xen. Cyrop. 7.2.28,X.,C., 7.2.28
s1000,Thuc. 2.34,T.,, 2.34
s1000,Xen. Mem. 1.4.13,X.,M., 1.4.13
s1000,Xen. Anab. 2.5.6,X.,A., 2.5.6
s1000,Xen. Anab. 4.5.26,X.,A., 4.5.26
s1000,Thuc. 7.87,T.,, 7.87
s1000,Aristoph. Frogs 553,Ar.,Ran., 553
s1000,Dem. 8.25,D.,, 8.25
s1000,Hdt. 3.78,Hdt.,, 3.78
s1000,Plat. Theaet. 169b,P.,Th., 169b
s1000,Thuc. 7.25,T.,, 7.25
s1001,Aesch. PB 879,A.,Pr., 879
s1001,Hom. Od. 5.250,H.,Od.,5.250
s1002,Dem. 5.15,D.,, 5.15
s1003,Xen. Sym. 2,X.,S., 2
s1003,Plat. Apol. 32d,P.,A., 32d
s1003,Thuc. 1.88,T.,, 1.88
s1004,Plat. Rep. 425a,P.,R., 425a
s1005,Dem. 5.25,D.,, 5.25
s1006,Aesch. Ag. 1265,A.,Ag., 1265
s1006,Hom. Od. 5.6,H.,Od.,5.6
s1006,Soph. Ant. 1041,S.,Ant., 1041
s1007,Aesch. Lib. 52,A.,Ch., 52
s1007,Aesch. Eum. 100,A.,Eum., 100
s1008,Xen. Cyrop. 1.1.1,X.,C., 1.1.1
s1008,Eur. Ion 391,E.,Ion, 391
s1008,Eur. Her. 1206,E.,H. F., 1206
s1009,Eur. Her. 858,E.,H. F., 858
s1009,Eur. Alc. 383,E.,Alc., 383
s1010,Plat. Euthyd. 283b,P.,Eu., 283b
s1011,Soph. OC 207,S.,O. C., 207
s1011,Hom. Od. 2.310,H.,Od.,2.310
s1011,Soph. OC 1102,S.,O. C., 1102
s1012,Xen. Hiero 5.4,X.,Hi., 5.4
s1013,Eur. Tro. 735,E.,Tro., 735
s1013,Plat. Lach. 180e,P.,Lach., 180e
s1013,Dem. 21.117,D.,, 21.117
s1014,Hom. Od. 16.476,H.,Od.,16.476
s1014,Plat. Laws 657d,P.,L., 657d
s1015,Xen. Ec. 7.27,X.,O., 7.27
s1015,Eur. Andr. 712,E.,And., 712
s1016,Eur. Ba. 173,E.,Bacch., 173
s1017,,Men.,Sent., 551
s1020,Xen. Mem. 4.1.3,X.,M., 4.1.3
s1022,Eur. Alc. 167,E.,Alc., 167
s1023,Xen. Anab. 4.4.1,X.,A., 4.4.1
s1023,Thuc. 7.68,T.,, 7.68
s1023,Thuc. 1.18,T.,, 1.18
s1023,Aeschin. 3.165,Aes.,, 3.165
s1023,Plat. Gorg. 473b,P.,G., 473b
s1023,Lys. 12.33,L.,, 12.33
s1023,Plat. Rep. 506b,P.,R., 506b
s1023,Hom. Od. 2.3,H.,Od.,2.3
s1024,Thuc. 6.69,T.,, 6.69
s1024,Xen. Anab. 1.2.1,X.,A., 1.2.1
s1024,Thuc. 4.77,T.,, 4.77
s1024,Thuc. 1.97,T.,, 1.97
s1024,Xen. Hell. 7.4.28,X.,H., 7.4.28
s1025,Thuc. 2.59,T.,, 2.59
s1026,Xen. Anab. 1.8.4,X.,A., 1.8.4
s1026,Thuc. 2.94,T.,, 2.94
s1026,Thuc. 2.56,T.,, 2.56
s1027,Plat. Lach. 184d,P.,Lach., 184d
s1027,Plat. Laws 716a,P.,L., 716a
s1027,Isoc. 10.61,I.,, 10.61
s1027,Plat. Laws 668a,P.,L., 668a
s1027,Xen. Anab. 1.5.1,X.,A., 1.5.1
s1027,Xen. Anab. 1.3.14,X.,A., 1.3.14
s1027,Thuc. 4.96,T.,, 4.96
s1027,Dem. 18.205,D.,, 18.205
s1027,Xen. Cyrop. 1.2.11,X.,C., 1.2.11
s1027,Thuc. 6.34,T.,, 6.34
s1027,Thuc. 1.15,T.,, 1.15
s1027,Dem. 9.27,D.,, 9.27
s1027,Lys. 19.22,L.,, 19.22
s1027,Xen. Anab. 6.1.18,X.,A., 6.1.18
s1027,Plat. Apol. 18c,P.,A., 18c
s1027,Aristoph. Eccl. 153,Ar.,Eccl., 153
s1028,Xen. Anab. 5.8.12,X.,A., 5.8.12
s1028,Dem. 27.34,D.,, 27.34
s1029,Dem. 19.181,D.,, 19.181
